,tmdb_id,soup
98,567,thriller mystery nurse isolation photographer suspicionofmurder salesman neighbor whodunit voyeurism voyeur misswife restrictset jamesstewart gracekelly thelmaritter wendellcorey raymondburr judithevelyn alfredhitchcock alfredhitchcock alfredhitchcock
99,872585,drama history husbandwiferelationship baseonnovelorbook politic atomicbomb professor patriotism newmexico worldwarii hallucination surrealism biography baseontruestory physicist jewishamerican interrogation guilt nonlineartimeline historicalevent nuclearweapon communism moraldilemma usapolitic 1940 ethic quantumphysics maleprotagonist cillianmurphy emilyblunt mattdamon robertdowneyjr. florencepugh joshhartnett christophernolan christophernolan christophernolan
100,449176,comedy drama romance sexualidentity highschool baseonnovelorbook sexuality class comeofage bully love teenmovie malehomosexuality lgbt lgbtteen baseonyoungadultnovel gaytheme boy'love(bl) nickrobinson jennifergarner joshduhamel katherinelangford alexandrashipp loganmiller gregberlanti gregberlanti gregberlanti
101,569094,animation action adventure sciencefiction newyorkcity sacrifice superhero comicbook baseoncomic sequel romance alternatedimension india superpower brooklyn newyorkcity superheroteam supervillain cliffhanger teensuperhero alternateuniverse teenromance shameikmoore haileesteinfeld jasonschwartzman oscarisaac briantyreehenry lunalaurenvelez joaquimdossantos joaquimdossantos joaquimdossantos
102,524,crime drama history casino poker italianamerican gambling 1970 fbi greed overdose carbomb riseandfall money organizecrime mafia jewishamerican lasvegas desert 1980s robertdeniro sharonstone joepesci jameswoods donrickles alanking martinscorsese martinscorsese martinscorsese
103,426,mystery romance thriller loveofone'slife senseofguilt sanfrancisco california suicideattempt obsession bachelor detective museum painting grave filmnoir goldengatebridge psychologicalthriller neo-noir theperfectmurder theperfectcrime jamesstewart kimnovak barbarabelgeddes tomhelmore henryjones raymondbailey alfredhitchcock alfredhitchcock alfredhitchcock
104,527641,romance drama terminalillness hospital goodfriend fallinlove starcrosslover truelove teenager haleylurichardson colesprouse moisésarias kimberlyhebertgregory parmindernagra claireforlani justinbaldoni justinbaldoni justinbaldoni
105,935,comedy war usapresident general coldwar darkcomedy nuclearmissile satire blackandwhite nuclearweapon antiwar petersellers georgec.scott sterlinghayden keenanwynn slimpickens peterbull stanleykubrick stanleykubrick stanleykubrick
106,15,mystery drama florida newspaper journalist americandream money blackandwhite child orsonwelles josephcotten dorothycomingore raycollins georgecoulouris agnesmoorehead orsonwelles orsonwelles orsonwelles
107,400928,drama comedy mathematic childprodigy teacher school childcustody legaldrama chrisevans mckennagrace lindsayduncan jennyslate octaviaspencer glennplummer marcwebb marcwebb marcwebb
108,289,drama romance corruption nazi escape lovetriangle resistance spy patriotism casablanca morocco nationalism worldwarii morocco filmnoir blackandwhite war humphreybogart ingridbergman paulhenreid clauderains conradveidt sydneygreenstreet michaelcurtiz michaelcurtiz michaelcurtiz
109,311,drama crime newyorkcity regret lovesickness rape sexualabuse streetgang corruption baseonnovelorbook prohibitionera gangster sadistic moneylaundering mafiaboss murder memory jewishamerican torture childhoodfriend 1920s 1960 1930s robertdeniro jameswoods elizabethmcgovern treatwilliams tuesdayweld joepesci sergioleone sergioleone sergioleone
110,19404,comedy drama romance familyhistory familydrama loveaffair shahrukhkhan kajol amrishpuri anupamkher satishshah faridajalal adityachopra adityachopra adityachopra
